segment,start,end,medad_p50,medad_p90,medad_p99,si_p50,si_p90,si_p99,motion_occupancy,motion_magnitude,scene_activity,texture,rtci,burst_score,tail_score,extreme_score,spatial_score,temporal_score,motion_score,event_score,segment_variability,v8_fusion,bdi,regime,class
272,1360.0,1365.0,2.0,3.0,4.0,91.55453491210938,102.22407379150391,103.3228173828125,0.26498013888888894,10.32792659722222,0.040501672930283214,437.4489247906402,0.42083333333333334,0.1875,0.16666666666666666,0.125,0.5912189098825259,0.31583333333333335,0.35375061853963774,0.11571906551509491,0.3333333333333333,0.35317481504723597,0.4012062963240814,LOW-COMPLEXITY,Moderate
273,1365.0,1370.0,2.0,2.0,3.0,87.98904418945312,100.31061096191407,102.60423004150391,0.19718381944444444,7.727778993055555,0.030305015659041392,430.8833872321656,0.5875,0.125,0.1875,0.125,0.5811043442491696,0.3793750000000001,0.3158755467255893,0.08658575902583256,0.5,0.3622221488072461,0.4062636318127014,LOW-COMPLEXITY,Moderate
274,1370.0,1375.0,2.0,6.6000000000000085,10.0,79.80184936523438,84.98634796142578,85.50334716796876,0.2762548958333333,11.415394201388889,0.044766251770152504,354.02924561475027,0.3021969696969696,0.41250000000000053,0.18939393939393914,0.125,0.6155419461902755,0.35183333333333355,0.334508166979297,0.12790357648615003,0.30303030303030265,0.3760057995895036,0.41137128418878255,SPATIAL-HEAVY,Moderate
275,1375.0,1380.0,6.0,9.0,12.0,121.2011947631836,131.98622131347656,134.18346069335936,0.4231540972222223,18.324549583333333,0.07186097875816994,1768.3886850368224,0.42083333333333334,0.1875,0.16666666666666666,0.6145833333333334,0.6040649400830189,0.31583333333333335,0.4642035914347451,0.20531708216619982,0.3333333333333333,0.4086993607052129,0.44309327828212264,SPATIAL-HEAVY,Moderate
276,1380.0,1385.0,3.0,5.0,6.760000000000005,146.03469848632812,149.36942138671876,150.44437438964843,0.3160134722222222,13.701265208333332,0.05373045179738562,3327.115016533918,0.3754666666666667,0.20833333333333334,0.16900000000000012,0.14792899408284013,0.6374533314027601,0.3002566666666667,0.4087518248864781,0.15351557656395892,0.2,0.36677833450410763,0.41754737690146876,SPATIAL-HEAVY,Moderate
277,1385.0,1390.0,9.0,14.0,16.760000000000005,158.31851196289062,163.6285827636719,164.65410278320311,0.476335138888889,23.413403923611114,0.09181727028867104,3987.7582019745146,0.43310317460317466,0.19444444444444445,0.1496428571428572,0.1267899761336515,0.6316944660410121,0.3257067460317461,0.46674089628417265,0.26233505796763157,0.5,0.40635518735840764,0.45615884528830275,SPATIAL-HEAVY,Moderate
278,1390.0,1395.0,4.0,5.0,5.0,164.0110626220703,169.55000915527344,170.32393371582032,0.29817986111111117,12.222206597222222,0.047930221949891064,3139.321402903092,0.44625000000000004,0.15625,0.125,1.0,0.6315398469032176,0.31575000000000003,0.4624615608667757,0.13694349128540304,0.2,0.4243228902233749,0.4590530943634181,SPATIAL-HEAVY,Moderate
279,1395.0,1400.0,2.0,2.0,2.0,81.15567016601562,82.73740997314454,83.29188659667969,0.16869031249999997,5.269637361111112,0.020665244553376906,399.0058470622127,0.5,0.125,0.125,0.125,0.6392641709369471,0.33125000000000004,0.25977396078252796,0.059043555866791164,0.0,0.3145748152135629,0.37137755755517976,SPATIAL-HEAVY,Moderate
280,1400.0,1405.0,2.0,5.0,6.0,77.99552917480469,80.12271728515626,80.58320831298828,0.23676503472222218,7.490396875,0.029374105392156864,410.637179454433,0.3025,0.3125,0.15,0.125,0.6350305744061711,0.307,0.31454363051031053,0.08392601540616247,0.2,0.34904082674298553,0.3953641917939277,SPATIAL-HEAVY,Moderate
281,1405.0,1410.0,4.0,40.0,50.760000000000005,77.09095764160156,118.10879211425781,122.92074920654298,0.41572357638888896,20.119666076388885,0.07890065127995645,570.6815975709109,0.284225,1.0,0.15862500000000002,0.14036643026004728,0.4590179678948142,0.60632375,0.34222186546388705,0.22543043222844703,0.05,0.43671188988889487,0.4457474375652644,MOTION-HEAVY,Moderate
282,1410.0,1415.0,4.0,7.0,14.56000000000003,136.2292022705078,139.4744140625,140.5430908203125,0.38119364583333326,18.831510868055556,0.07384906222766885,1846.3538113353143,0.3957500000000001,0.21875,0.26000000000000056,0.5151098901098891,0.6369276332697825,0.31610000000000005,0.3887564499757591,0.21099732065048243,0.2857142857142857,0.39761946713543483,0.43039349090869555,SPATIAL-HEAVY,Moderate
283,1415.0,1420.0,11.0,13.0,14.0,152.7932586669922,157.8346160888672,160.11800354003907,0.5430494444444447,31.460138645833332,0.12337309272875818,2926.352878219781,0.46031468531468533,0.14772727272727273,0.1346153846153846,0.125,0.6321378824581901,0.31965034965034966,0.5206266079161546,0.3524945506535948,0.15384615384615385,0.39567065448392236,0.4533483527085181,SPATIAL-HEAVY,Moderate
284,1420.0,1425.0,5.0,11.0,15.52000000000001,144.22671508789062,149.8229522705078,152.77604553222656,0.3782113194444444,20.258677499999997,0.07944579411764706,1569.0167862680628,0.39027272727272727,0.275,0.17636363636363647,0.7168170103092779,0.6291707236955741,0.33840000000000003,0.4735062707204177,0.22698798319327732,0.6363636363636364,0.44881955221383013,0.46227628752205396,SPATIAL-HEAVY,Moderate
285,1425.0,1430.0,14.0,35.20000000000002,46.0,117.9294204711914,133.88037109375,140.94819030761718,0.6053847569444445,34.02554534722222,0.13343351116557736,1249.4261016655066,0.30859577922077913,0.31428571428571445,0.16335227272727265,0.13858695652173914,0.5837306911980552,0.31115625,0.5180073931183564,0.3812386033302211,0.22727272727272715,0.3981022912074606,0.43757307536410806,BURST-DOMINATED,Moderate
