segment,start,end,medad_p50,medad_p90,medad_p99,si_p50,si_p90,si_p99,motion_occupancy,motion_magnitude,scene_activity,texture,rtci,burst_score,tail_score,extreme_score,spatial_score,temporal_score,motion_score,event_score,segment_variability,v8_fusion,bdi,regime,class
33,165.0,170.0,2.0,3.0,4.760000000000005,144.54476928710938,145.99395751953125,146.45443176269532,0.1823320486111111,7.036700243055556,0.02759490291394335,3053.9563923836504,0.42716666666666675,0.1875,0.19833333333333356,1.0,0.6444166328133452,0.31931666666666675,0.3956553179668301,0.07884257975412386,0.3333333333333333,0.4186366896085441,0.43792152665092887,SPATIAL-HEAVY,Moderate
34,170.0,175.0,2.0,3.0,3.760000000000005,124.19853973388672,139.04708862304688,140.24118408203125,0.29049201388888884,13.14830847222222,0.0515619940087146,1312.3162200940362,0.4188333333333334,0.1875,0.15666666666666687,1.0,0.5898243614365496,0.3147333333333334,0.4630955942020858,0.1473199828820417,0.3333333333333333,0.41303362011007944,0.4202509785553415,LOW-COMPLEXITY,Moderate
35,175.0,180.0,3.0,7.0,49.040000000000276,124.27789306640625,128.9036376953125,131.18195068359375,0.2864607291666667,11.499700659722222,0.045096865332244,2390.943379085116,0.5334761904761914,0.2916666666666667,0.8757142857142907,0.1631321370309942,0.6299633782657125,0.42466190476190535,0.38616334887344894,0.1288481866635543,0.7142857142857143,0.4730403093232637,0.5059022124341443,SPATIAL-HEAVY,Moderate
36,180.0,185.0,6.0,8.0,9.0,63.53589630126953,127.73037109375,129.63125122070312,0.36143232638888895,14.273288680555556,0.05597368110021787,1039.2911885631222,0.5114583333333333,0.16666666666666666,0.140625,0.9305555555555556,0.3803061558602645,0.35630208333333335,0.45234058679558975,0.15992480314347965,0.75,0.3950835845726913,0.386819447869653,LOW-COMPLEXITY,Moderate
37,185.0,190.0,2.0,4.0,5.0,61.367881774902344,62.9739990234375,67.58134185791016,0.22632732638888892,8.046573541666666,0.03155519035947712,235.9546964013612,0.38125000000000003,0.25,0.15625,1.0,0.6368870022702315,0.3221875,0.3980840808702576,0.09015768674136321,0.5,0.4293162312541959,0.44158154684357154,SPATIAL-HEAVY,Moderate
38,190.0,195.0,0.0,3.6000000000000085,5.0,75.03093719482422,95.69041137695314,102.0609228515625,0.22976170138888888,9.484899513888887,0.03719568436819172,483.95309350827443,0.16638888888888892,0.45000000000000107,0.1736111111111107,0.125,0.5303133678720086,0.2940138888888894,0.3161984136389698,0.10627338390911921,0.2777777777777771,0.3335610221152651,0.3540943926272068,BURST-DOMINATED,Moderate
39,195.0,200.0,3.0,5.0,50.60000000000031,113.23394012451172,116.02986602783203,135.6464715576172,0.3321609027777777,12.325013229166666,0.048333385212418305,1694.2742242661418,0.5116666666666667,0.20833333333333334,1.0,0.1729249011857697,0.6394836202506021,0.3751666666666667,0.35663582590737875,0.13809538632119517,0.0,0.4248197590676618,0.4877044319366897,SPATIAL-HEAVY,Moderate
40,200.0,205.0,0.0,1.0,60.2800000000004,97.3363037109375,137.4917724609375,138.44759521484374,0.09525520833333334,3.967620243055555,0.015559295070806101,1484.4732054312533,0.375,0.125,1.0,0.17626078301260667,0.48778798556723924,0.2625,0.47496303394600886,0.04445512877373172,1.0,0.42953628674811106,0.44529200777360906,SPARSE-EXTREME,Moderate
41,205.0,210.0,1.0,1.0,1.7600000000000051,72.04550170898438,105.217431640625,105.70243347167968,0.12903201388888888,4.570877916666667,0.0179250114379085,1038.3801379075287,0.5190000000000001,0.125,0.22000000000000064,1.0,0.4753127019411738,0.3417000000000001,0.3567882200034704,0.05121431839402429,0.0,0.35611055700177807,0.37634597981941315,SPARSE-EXTREME,Moderate
42,210.0,215.0,2.0,3.0,50.36000000000031,73.92980194091797,140.1875427246094,141.69583251953125,0.18599538194444443,6.766412430555556,0.026534950708061004,1208.7202941095397,0.6375000000000001,0.1875,1.0,0.1712668784749791,0.39462690327921623,0.43500000000000005,0.4540555235060454,0.0758141448801743,0.6666666666666666,0.4300867804332493,0.4463940698994654,SPARSE-EXTREME,Moderate
